"epoch","vanilla_vae_4D - _step","vanilla_vae_4D - _step__MIN","vanilla_vae_4D - _step__MAX","vanilla_vae_4D - total_bottleneck_over_2","vanilla_vae_4D - total_bottleneck_over_2__MIN","vanilla_vae_4D - total_bottleneck_over_2__MAX","vanilla_vae_3D - _step","vanilla_vae_3D - _step__MIN","vanilla_vae_3D - _step__MAX","vanilla_vae_3D - total_bottleneck_over_2","vanilla_vae_3D - total_bottleneck_over_2__MIN","vanilla_vae_3D - total_bottleneck_over_2__MAX","vanilla_vae_2D - _step","vanilla_vae_2D - _step__MIN","vanilla_vae_2D - _step__MAX","vanilla_vae_2D - total_bottleneck_over_2","vanilla_vae_2D - total_bottleneck_over_2__MIN","vanilla_vae_2D - total_bottleneck_over_2__MAX","torus_vae - _step","torus_vae - _step__MIN","torus_vae - _step__MAX","torus_vae - total_bottleneck_over_2","torus_vae - total_bottleneck_over_2__MIN","torus_vae - total_bottleneck_over_2__MAX","klein_vae - _step","klein_vae - _step__MIN","klein_vae - _step__MAX","klein_vae - total_bottleneck_over_2","klein_vae - total_bottleneck_over_2__MIN","klein_vae - total_bottleneck_over_2__MAX"
"19","26","26","26","3.5168111324310303","3.5168111324310303","3.5168111324310303","26","26","26","5.1272292137146","5.1272292137146","5.1272292137146","26","26","26","6.162017822265625","6.162017822265625","6.162017822265625","26","26","26","7.8672614097595215","7.8672614097595215","7.8672614097595215","26","26","26","7.540107250213623","7.540107250213623","7.540107250213623"
"39","53","53","53","2.6135764122009277","2.6135764122009277","2.6135764122009277","53","53","53","4.3477783203125","4.3477783203125","4.3477783203125","53","53","53","5.915974140167236","5.915974140167236","5.915974140167236","53","53","53","7.8672614097595215","7.8672614097595215","7.8672614097595215","53","53","53","7.540107250213623","7.540107250213623","7.540107250213623"
"59","81","81","81","2.2073721885681152","2.2073721885681152","2.2073721885681152","81","81","81","4.020707130432129","4.020707130432129","4.020707130432129","81","81","81","5.662871837615967","5.662871837615967","5.662871837615967","81","81","81","7.8672614097595215","7.8672614097595215","7.8672614097595215","81","81","81","7.540107250213623","7.540107250213623","7.540107250213623"
"79","108","108","108","2.155062675476074","2.155062675476074","2.155062675476074","108","108","108","3.588022470474243","3.588022470474243","3.588022470474243","108","108","108","5.877167224884033","5.877167224884033","5.877167224884033","108","108","108","7.8672614097595215","7.8672614097595215","7.8672614097595215","108","108","108","7.540107250213623","7.540107250213623","7.540107250213623"
"99","136","136","136","2.1318061351776123","2.1318061351776123","2.1318061351776123","136","136","136","3.677058458328247","3.677058458328247","3.677058458328247","136","136","136","5.894241809844971","5.894241809844971","5.894241809844971","136","136","136","7.8672614097595215","7.8672614097595215","7.8672614097595215","136","136","136","7.515854835510254","7.515854835510254","7.515854835510254"
"119","163","163","163","2.1045801639556885","2.1045801639556885","2.1045801639556885","163","163","163","3.6442840099334717","3.6442840099334717","3.6442840099334717","163","163","163","5.843254566192627","5.843254566192627","5.843254566192627","163","163","163","7.8672614097595215","7.8672614097595215","7.8672614097595215","163","163","163","7.3554887771606445","7.3554887771606445","7.3554887771606445"
"139","190","190","190","2.098587989807129","2.098587989807129","2.098587989807129","190","190","190","3.5967445373535156","3.5967445373535156","3.5967445373535156","190","190","190","5.593295574188232","5.593295574188232","5.593295574188232","190","190","190","7.8672614097595215","7.8672614097595215","7.8672614097595215","190","190","190","7.360958576202393","7.360958576202393","7.360958576202393"
"159","218","218","218","2.0629587173461914","2.0629587173461914","2.0629587173461914","218","218","218","3.581552028656006","3.581552028656006","3.581552028656006","218","218","218","5.4042582511901855","5.4042582511901855","5.4042582511901855","218","218","218","7.8672614097595215","7.8672614097595215","7.8672614097595215","218","218","218","7.3554887771606445","7.3554887771606445","7.3554887771606445"
"179","245","245","245","2.0392940044403076","2.0392940044403076","2.0392940044403076","245","245","245","3.553832530975342","3.553832530975342","3.553832530975342","245","245","245","5.171778202056885","5.171778202056885","5.171778202056885","245","245","245","7.8672614097595215","7.8672614097595215","7.8672614097595215","245","245","245","7.306560039520264","7.306560039520264","7.306560039520264"
"199","273","273","273","2.0210604667663574","2.0210604667663574","2.0210604667663574","273","273","273","3.4926867485046387","3.4926867485046387","3.4926867485046387","273","273","273","5.084636211395264","5.084636211395264","5.084636211395264","273","273","273","7.8672614097595215","7.8672614097595215","7.8672614097595215","273","273","273","7.287195682525635","7.287195682525635","7.287195682525635"
