metric,model,first,final,minimum,maximum,logged_points
optimized_validation_loss,Vanilla VAE 2D,125.69229888916016,26.631742477416992,26.631742477416992,125.69229888916016,200
optimized_validation_loss,Vanilla VAE 3D,113.7144546508789,11.199929237365724,11.199929237365724,113.7144546508789,200
optimized_validation_loss,Vanilla VAE 4D,84.92989349365234,4.692042827606201,4.692042827606201,84.92989349365234,200
optimized_validation_loss,Torus VAE,0.5997953414916992,0.4411225616931915,0.4399382472038269,0.6228047609329224,200
optimized_validation_loss,Klein VAE,0.5970469117164612,0.3354171812534332,0.3333008885383606,0.7329608201980591,200
legacy_var_z,Vanilla VAE 2D,40.90168762207031,30.61661148071289,30.61661148071289,40.90168762207031,10
legacy_var_z,Vanilla VAE 3D,43.5539665222168,26.332176208496097,26.332176208496097,43.5539665222168,10
legacy_var_z,Vanilla VAE 4D,43.032264709472656,22.864246368408203,22.864246368408203,43.032264709472656,10
legacy_var_z,Torus VAE,0.3478527069091797,0.3890066146850586,0.3314230144023895,0.3891023397445678,10
legacy_var_z,Klein VAE,0.5148494243621826,0.1371253877878189,0.1371253877878189,0.5148494243621826,10
bottleneck_z2,Vanilla VAE 2D,6.162017822265625,5.084636211395264,5.084636211395264,6.162017822265625,10
bottleneck_z2,Vanilla VAE 3D,5.1272292137146,3.4926867485046387,3.4926867485046387,5.1272292137146,10
bottleneck_z2,Vanilla VAE 4D,3.5168111324310303,2.0210604667663574,2.0210604667663574,3.5168111324310303,10
bottleneck_z2,Torus VAE,7.8672614097595215,7.8672614097595215,7.8672614097595215,7.8672614097595215,10
bottleneck_z2,Klein VAE,7.540107250213623,7.287195682525635,7.287195682525635,7.540107250213623,10
bottleneck_z3,Vanilla VAE 2D,4.992812633514404,3.9414381980896,3.9414381980896,4.992812633514404,10
bottleneck_z3,Vanilla VAE 3D,3.6717629432678223,2.549690008163452,2.549690008163452,3.6717629432678223,10
bottleneck_z3,Vanilla VAE 4D,3.298995018005371,1.983566164970398,1.983566164970398,3.298995018005371,10
bottleneck_z3,Torus VAE,6.945739269256592,6.945739269256592,6.945739269256592,6.945739269256592,10
bottleneck_z3,Klein VAE,6.438294887542725,6.14016580581665,6.14016580581665,6.438294887542725,10
